"DATE","TIME","INT","CF","UTIL%","LP#","STOR_STR","STOR_DUMP","STOR_AVAIL","STOR_SIZE"
19/04/25,17:39:00,600,"CEC1CF7",25.1%,1,8604000000,10000000,2678000000,11292000000
19/04/25,17:39:00,600,"CEC1CF8",18.1%,1,7923000000,10000000,3359000000,11292000000
