"Integration Node (broker)","Ver","integration node UUID (broker UUID)","Integration server (ex.grp)","message flow","StartDate","StartTime","EndDate","EndTime","Tot.msgs","Tot.Elapse","max.elapse","min.elapse","total.cp","max.cp","min.cp","cp.wait","elapse.wait","total.msgsize","max.msgsize","min.msgsize"
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:46,2019-04-25,17:47,4118,89.038337,0.298287,0.008348,13.970025,0.013032,0.001884,0.528840,326.895851,58098742,100910,4412
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:46,2019-04-25,17:47,4135,83.079456,0.262160,0.007769,17.922350,0.014782,0.002552,1.096661,1815.893736,7980840,2073,1867
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:46,2019-04-25,17:47,5769,58.769523,0.155824,0.005634,24.913915,0.006932,0.003178,6.410337,2342.064037,2399904,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:46,2019-04-25,17:47,2702,28.302499,0.122985,0.005547,11.416279,0.008131,0.003064,0.532362,211.110517,1124032,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:46,2019-04-25,17:47,5813,383.772121,0.298763,0.012163,20.245183,0.006718,0.002631,0.517381,1800.100308,12173225,2095,2093
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:47,2019-04-25,17:48,4315,92.311140,0.200144,0.007795,14.430948,0.012398,0.001793,0.527130,327.001742,59263786,100910,4412
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:47,2019-04-25,17:48,3801,73.428362,0.187431,0.008979,16.816693,0.015126,0.002508,1.136800,1853.694967,7362566,2073,1867
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:47,2019-04-25,17:48,5784,61.072965,0.144106,0.005605,24.837708,0.006932,0.003103,6.606283,2323.954389,2406144,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:47,2019-04-25,17:48,2627,30.444628,0.163646,0.005523,11.066556,0.006438,0.002944,0.507321,203.888366,1092832,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:47,2019-04-25,17:48,5903,388.338173,5.336620,0.014907,22.509429,2.074531,0.002605,0.518646,1715.938244,12361485,2095,1889
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:48,2019-04-25,17:49,4203,81.856998,0.257011,0.007884,14.036989,0.013663,0.001793,0.533897,338.421661,58569848,100910,4412
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:48,2019-04-25,17:49,4291,79.432901,0.166147,0.008714,18.448986,0.017628,0.002510,1.145649,1849.183543,8286925,2073,1867
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:48,2019-04-25,17:49,2863,34.194899,0.149450,0.005497,11.789713,0.006670,0.002781,0.525915,203.380506,1191008,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:48,2019-04-25,17:49,6277,424.210065,5.582741,0.014685,23.619471,2.112440,0.002535,0.548527,1753.114562,13144579,2095,1889
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:48,2019-04-25,17:49,4310,49.428933,0.161920,0.005578,18.533012,0.007026,0.003028,4.769639,2306.505413,1792960,416,416
