1                                               R M F   S U M M A R Y   R E P O R T                                                  
                                                                                                                            PAGE  001
             z/OS  V2R2               SYSTEM ID A2               START 04/25/2019-17.39.00  INTERVAL 00.00.59                        
                                      RPT VERSION V2R2 RMF       END   04/25/2019-17.49.00  CYCLE 1.000 SECONDS                      
0                                                                                                                                    
 NUMBER OF INTERVALS 10            TOTAL LENGTH OF INTERVALS 00.09.55                                                                
-DATE   TIME     INT   CPU   DASD  DASD   JOB   JOB   TSO   TSO   STC   STC  ASCH  ASCH  OMVS  OMVS SWAP DEMAND                      
 MM/DD HH.MM.SS MM.SS  BUSY  RESP  RATE   MAX   AVE   MAX   AVE   MAX   AVE   MAX   AVE   MAX   AVE RATE PAGING                      
004/25 17.39.00 01.00  46.7   0.6  4294    13    13     2     2   418   418     0     0     3     3 0.00   0.00                      
 04/25 17.40.00 00.59  47.4   0.7  4601    13    13     2     2   418   418     0     0     3     3 0.00   0.00                      
 04/25 17.41.00 01.00  47.8   0.6  4431    13    13     2     2   418   418     0     0     3     3 0.00   0.00                      
 04/25 17.42.00 00.59  47.5   0.6  4320    13    13     2     2   418   418     0     0     3     3 0.00   0.00                      
004/25 17.43.00 01.00  47.6   0.7  4593    13    13     2     2   418   418     0     0     3     3 0.00   0.00                      
 04/25 17.44.00 00.59  47.8   0.6  4350    13    13     2     2   418   418     0     0     3     3 0.00   0.00                      
 04/25 17.45.00 00.59  47.7   0.6  4464    13    13     2     2   418   418     0     0     3     3 0.00   0.00                      
 04/25 17.46.00 01.00  47.6   0.7  4608    13    13     2     2   418   418     0     0     3     3 0.00   0.00                      
004/25 17.47.00 00.59  47.9   0.6  4405    13    13     2     2   418   418     0     0     3     3 0.00   0.00                      
 04/25 17.48.00 01.00  46.3   0.6  4460    13    13     2     2   420   418     0     0     3     3 0.00   0.00                      
-TOTAL/AVERAGE         47.4   0.6  4453    13    13     2     2   420   418     0     0     3     3 0.00   0.00                      
