DATE,TIME,TYPE,CLASS,TRAN_MPL,TRAN_NUM,TRAN_TPS,TRAN_ACT,TRAN_EXE,DASD_SSCHRT,DASD_RESP,CP,AAPCP,IIPCP,AAP,IIP,STOR_AVG,STOR_TOT,STOR_SHR
2019/04/25,17:39:00,REPORT,MBEG101A,1.00,0,0.00,0.000,0.000,245.8,0.4,28.23%,0.00%,0.08%,N/A%,20.36%,138181.2,138177.3,38292.07
2019/04/25,17:39:00,REPORT,MBEG101B,1.00,0,0.00,0.000,0.000,220.1,0.4,28.50%,0.00%,0.10%,N/A%,19.49%,139007.1,139003.8,38292.27
2019/04/25,17:39:00,REPORT,MBEG201A,1.00,0,0.00,0.000,0.000,110.3,0.4,28.88%,0.00%,0.22%,N/A%,25.85%,126635.6,126632.0,38292.07
2019/04/25,17:39:00,REPORT,MBEG201B,1.00,0,0.00,0.000,0.000,91.6,0.4,25.84%,0.00%,0.20%,N/A%,22.23%,126134.9,126132.0,38292.27
2019/04/25,17:39:00,REPORT,MBEG701A,1.00,0,0.00,0.000,0.000,0.0,0.0,13.00%,0.00%,0.44%,N/A%,23.96%,105776.6,105773.6,38191.07
2019/04/25,17:39:00,REPORT,MBEG701B,1.00,0,0.00,0.000,0.000,0.0,0.0,14.80%,0.00%,0.54%,N/A%,26.07%,105587.0,105584.5,38292.27
2019/04/25,17:39:00,REPORT,MBMQH1,1.00,0,0.00,0.000,0.000,0.0,0.3,0.10%,0.00%,0.00%,N/A%,0.06%,73384.11,73382.03,56295.63
2019/04/25,17:39:00,REPORT,MBMQH2,1.00,0,0.00,0.000,0.000,0.0,0.2,0.11%,0.00%,0.00%,N/A%,0.04%,73408.26,73406.54,56296.92
2019/04/25,17:39:00,REPORT,MQHRCHIN,1.00,0,0.00,0.000,0.000,0.0,0.0,0.07%,0.00%,0.00%,N/A%,0.00%,5653.02,5652.86,10.00
2019/04/25,17:39:00,REPORT,MQHRMSTR,1.00,0,0.00,0.000,0.000,8.0,0.3,0.11%,0.00%,0.00%,N/A%,0.00%,17689.09,17688.59,6.00
2019/04/25,17:39:00,REPORT,MQH1CHIN,1.00,0,0.00,0.000,0.000,0.0,0.0,3.10%,0.00%,0.00%,N/A%,0.00%,23392.27,23391.61,10.00
2019/04/25,17:39:00,REPORT,MQH1MSTR,1.00,0,0.00,0.000,0.000,1536,0.4,3.67%,0.00%,0.00%,N/A%,0.00%,33430.45,33429.50,10.03
2019/04/25,17:39:00,REPORT,MQH2CHIN,1.00,0,0.00,0.000,0.000,0.0,0.0,2.77%,0.00%,0.00%,N/A%,0.00%,15831.91,15831.54,11.00
2019/04/25,17:39:00,REPORT,MQH2MSTR,1.00,0,0.00,0.000,0.000,1512,0.4,4.41%,0.00%,0.00%,N/A%,0.00%,33205.11,33204.34,11.03
2019/04/25,17:39:00,REPORT,NVA1APPL,1.00,0,0.00,0.000,0.000,4.7,0.1,0.38%,0.00%,0.00%,N/A%,0.00%,21053.93,21053.33,0.00
2019/04/25,17:39:00,REPORT,NVA1SSI,1.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,241.00,240.99,0.00
2019/04/25,17:39:00,REPORT,NVA2APPL,1.00,0,0.00,0.000,0.000,4.7,0.1,0.39%,0.00%,0.00%,N/A%,0.00%,21143.89,21143.40,0.00
2019/04/25,17:39:00,REPORT,NVA2SSI,1.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,0.00%,241.00,241.00,0.00
2019/04/25,17:39:00,REPORT,NVF1APPL,1.00,0,0.00,0.000,0.000,3.5,0.2,0.42%,0.00%,0.00%,N/A%,N/A%,21945.37,21944.79,0.00
2019/04/25,17:39:00,REPORT,NVF1SSI,1.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,N/A%,271.00,270.99,0.00
2019/04/25,17:39:00,REPORT,NVF2APPL,1.00,0,0.00,0.000,0.000,3.3,0.2,0.39%,0.00%,0.00%,N/A%,N/A%,21613.05,21612.51,0.00
2019/04/25,17:39:00,REPORT,NVF2SSI,1.00,0,0.00,0.000,0.000,0.0,0.0,0.00%,0.00%,0.00%,N/A%,N/A%,288.00,287.99,0.00
