"DATE","TIME","INT","CF","SYS","CS5 USE","SUBCH USE","PTH BUSY","REQ_SYNC","REQ_ASYNC","REQ_CHNGD","SRV_SYNC","SRV_ASYNC","STD_SYNC","STD_ASYNC","DLY_REQ_LC","DLY_REQ_LK","DLY_REQ_TO","DLY_REQ_LC%","DLY_REQ_LK%","DLY_REQ_TO%","DTIME/DLY LC","DTIME/ALL LC","DTIME/DLY LK","DTIME/ALL LK"
19/04/25,17:39:00,600,"CEC1CF7","A1",2,15,849000,7760000,8900000,248150,9.1,62.9,17.7,73.7,256000,9968,266000,2.8%,0.1%,1.6%,87.7,2.5,13.0,0.0
19/04/25,17:39:00,600,"CEC1CF7","A2",2,16,576000,8341000,9399000,21511,9.2,57.7,17.7,67.7,22000,1379,23000,0.2%,0.0%,0.1%,125.4,0.3,37.9,0.0
19/04/25,17:39:00,600,"CEC1CF7","F1",2,16,446,13754,5497,0,11.0,34.7,27.0,36.8,0,0,0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0
19/04/25,17:39:00,600,"CEC1CF7","F2",2,16,115,696,3457,0,11.0,35.9,27.5,31.8,0,0,0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0
19/04/25,17:39:00,600,"CEC1CF8","A1",2,16,287000,4991000,3884000,251134,10.9,103.2,16.5,85.6,4356,0,4356,0.0%,0.0%,0.0%,19.3,0.0,0.0,0.0
19/04/25,17:39:00,600,"CEC1CF8","A2",2,16,198000,4976000,4381000,21867,11.0,83.4,16.1,77.8,7643,0,7643,0.1%,0.0%,0.1%,36.3,0.0,0.0,0.0
19/04/25,17:39:00,600,"CEC1CF8","F1",2,16,30,0,824,0,0.0,42.4,0.0,39.2,0,0,0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0
19/04/25,17:39:00,600,"CEC1CF8","F2",2,16,25,0,548,0,0.0,52.2,0.0,39.8,0,0,0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0
