"date","time","volser","usage","sys","rate","resp","iosq","pend","disc","conn","lcu"
2019/04/25,17:39:00,"YDOC01","","A*",0.142,0.941,0.000,0.117,0.000,0.824,"016F"
2019/04/25,17:39:00,"YDOC01","","F*",0.144,0.958,0.000,0.126,0.000,0.832,"016F"
2019/04/25,17:39:00,"YDOC02","","*ALL",0.067,0.230,0.000,0.131,0.000,0.099,"016F"
2019/04/25,17:39:00,"YDOC02","","A1",0.017,0.243,0.000,0.141,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC02","","A2",0.017,0.243,0.000,0.141,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC02","","F1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC02","","F2",0.017,0.205,0.000,0.115,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDOC02","","A*",0.034,0.243,0.000,0.141,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC02","","F*",0.034,0.218,0.000,0.122,0.000,0.096,"016F"
2019/04/25,17:39:00,"YDOC03","","*ALL",0.067,0.243,0.000,0.134,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDOC03","","A1",0.017,0.269,0.000,0.141,0.000,0.128,"016F"
2019/04/25,17:39:00,"YDOC03","","A2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC03","","F1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC03","","F2",0.017,0.243,0.000,0.141,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC03","","A*",0.034,0.250,0.000,0.135,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC03","","F*",0.034,0.237,0.000,0.135,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC04","","*ALL",0.067,0.234,0.000,0.128,0.000,0.106,"016F"
2019/04/25,17:39:00,"YDOC04","","A1",0.017,0.218,0.000,0.115,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC04","","A2",0.017,0.256,0.000,0.141,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC04","","F1",0.018,0.244,0.000,0.140,0.000,0.105,"016F"
2019/04/25,17:39:00,"YDOC04","","F2",0.015,0.213,0.000,0.114,0.000,0.100,"016F"
2019/04/25,17:39:00,"YDOC04","","A*",0.034,0.237,0.000,0.128,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDOC04","","F*",0.033,0.230,0.000,0.128,0.000,0.103,"016F"
2019/04/25,17:39:00,"YDOC05","","*ALL",0.067,0.221,0.000,0.122,0.000,0.099,"016F"
2019/04/25,17:39:00,"YDOC05","","A1",0.017,0.218,0.000,0.115,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC05","","A2",0.017,0.205,0.000,0.115,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDOC05","","F1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC05","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC05","","A*",0.034,0.212,0.000,0.115,0.000,0.096,"016F"
2019/04/25,17:39:00,"YDOC05","","F*",0.034,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC06","","*ALL",0.065,0.223,0.000,0.121,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC06","","A1",0.017,0.256,0.000,0.128,0.000,0.128,"016F"
2019/04/25,17:39:00,"YDOC06","","A2",0.017,0.218,0.000,0.128,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDOC06","","F1",0.017,0.205,0.000,0.115,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDOC06","","F2",0.015,0.213,0.000,0.114,0.000,0.100,"016F"
2019/04/25,17:39:00,"YDOC06","","A*",0.034,0.237,0.000,0.128,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDOC06","","F*",0.032,0.209,0.000,0.115,0.000,0.095,"016F"
2019/04/25,17:39:00,"YDOC07","","*ALL",0.067,0.240,0.000,0.131,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDOC07","","A1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC07","","A2",0.017,0.282,0.000,0.141,0.000,0.141,"016F"
2019/04/25,17:39:00,"YDOC07","","F1",0.017,0.218,0.000,0.128,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDOC07","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC07","","A*",0.034,0.256,0.000,0.135,0.000,0.122,"016F"
2019/04/25,17:39:00,"YDOC07","","F*",0.034,0.224,0.000,0.128,0.000,0.096,"016F"
2019/04/25,17:39:00,"YDOC08","","*ALL",0.065,0.230,0.000,0.118,0.000,0.112,"016F"
2019/04/25,17:39:00,"YDOC08","","A1",0.015,0.228,0.000,0.114,0.000,0.114,"016F"
2019/04/25,17:39:00,"YDOC08","","A2",0.017,0.243,0.000,0.128,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC08","","F1",0.017,0.230,0.000,0.115,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC08","","F2",0.017,0.218,0.000,0.115,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC08","","A*",0.032,0.236,0.000,0.121,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC08","","F*",0.034,0.224,0.000,0.115,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDOC09","","*ALL",0.067,0.230,0.000,0.131,0.000,0.099,"016F"
2019/04/25,17:39:00,"YDOC09","","A1",0.017,0.218,0.000,0.128,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDOC09","","A2",0.017,0.256,0.000,0.141,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC09","","F1",0.017,0.218,0.000,0.128,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDOC09","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC09","","A*",0.034,0.237,0.000,0.135,0.000,0.103,"016F"
2019/04/25,17:39:00,"YDOC09","","F*",0.034,0.224,0.000,0.128,0.000,0.096,"016F"
2019/04/25,17:39:00,"YDOC10","","*ALL",0.067,0.234,0.000,0.125,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDOC10","","A1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC10","","A2",0.017,0.230,0.000,0.115,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC10","","F1",0.017,0.243,0.000,0.128,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC10","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC10","","A*",0.034,0.230,0.000,0.122,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDOC10","","F*",0.034,0.237,0.000,0.128,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDOC11","","*ALL",0.067,0.234,0.000,0.125,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDOC11","","A1",0.017,0.230,0.000,0.115,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC11","","A2",0.017,0.218,0.000,0.128,0.000,0.090,"016F"
2019/04/25,17:39:00,"YDOC11","","F1",0.017,0.243,0.000,0.128,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC11","","F2",0.017,0.243,0.000,0.128,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC11","","A*",0.034,0.224,0.000,0.122,0.000,0.103,"016F"
2019/04/25,17:39:00,"YDOC11","","F*",0.034,0.243,0.000,0.128,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC12","","*ALL",0.067,0.240,0.000,0.131,0.000,0.109,"016F"
2019/04/25,17:39:00,"YDOC12","","A1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC12","","A2",0.017,0.269,0.000,0.141,0.000,0.128,"016F"
2019/04/25,17:39:00,"YDOC12","","F1",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC12","","F2",0.017,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC12","","A*",0.034,0.250,0.000,0.135,0.000,0.115,"016F"
2019/04/25,17:39:00,"YDOC12","","F*",0.034,0.230,0.000,0.128,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC13","","*ALL",0.067,0.237,0.000,0.131,0.000,0.106,"016F"
2019/04/25,17:39:00,"YDOC13","","A1",0.017,0.218,0.000,0.115,0.000,0.102,"016F"
2019/04/25,17:39:00,"YDOC13","","A2",0.017,0.269,0.000,0.154,0.000,0.115,"016F"
