"DATE","TIME","SYSID","SG","DNUM","DTYPE","CYL","VOLSER","PAV","H","LCU","RATE","RESP","IOSQ","CMR","DB","INT","PEND","DISC","CONN","%CONN","%UTIL","%RESV","#ALLOC","%ALLOC"
"19/04/25","17:39:00","A1","TMPSG","8D99","33909",10017,"YTMP05",1.0,"H","016F",0.017,.243,.000,.000,.000,.000,.128,.000,.115,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8DAC","33909",10017,"YCPUMF",1.0,"H","016F",0.033,.294,.000,.000,.000,.000,.090,.000,.205,0.00,0.00,0.0,1.0,100.0
"19/04/25","17:39:00","A1","","","",,"LCU",,"","016F",0.767,.417,.000,.003,.000,.001,.120,.000,.297,0.00,0.00,0.0,10.0,100.0
"19/04/25","17:39:00","A1","","8E92","33909",10017,"YCDS02",1.0,"H","0170",0.492,1.04,.000,.004,.000,.000,.130,.000,.907,0.04,0.04,0.0,14.0,100.0
"19/04/25","17:39:00","A1","","8E9C","33909",10017,"1.0H",,"","0170",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8E9D","33909",10017,"1.0H",,"","0170",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8E9E","33909",10017,"1.0H",,"","0170",0.003,.064,.000,.000,.000,.000,.064,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8E9F","33909",10017,"1.0H",,"","0170",0.003,.064,.000,.000,.000,.000,.064,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8EA0","33909",10017,"1.0H",,"","0170",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8EA2","33909",10017,"1.0H",,"","0170",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8EA3","33909",10017,"1.0H",,"","0170",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8EB5","33909",10017,"1.0H",,"","0170",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8EB7","33909",10017,"1.0H",,"","0170",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","","",,"LCU",,"","0170",0.522,.984,.000,.004,.000,.000,.129,.000,.855,0.00,0.00,0.0,14.0,100.0
"19/04/25","17:39:00","A1","","8F89","33909",10017,"1.0H",,"","0171",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8F94","33909",10017,"1.0H",,"","0171",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","8F95","33909",10017,"1.0H",,"","0171",0.003,.128,.000,.000,.000,.000,.128,.000,.000,0.00,0.00,0.0,0.0,100.0
